epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,6006.08,0.02776,0.97592,1,0.09346,0.000429253,0.000429253,0.000429253
77,6085.75,0.02319,0.97432,1,0.08564,0.000412749,0.000412749,0.000412749
78,6165.23,0.02369,0.97271,1,0.07085,0.000396246,0.000396246,0.000396246
79,6243.98,0.05767,0.97111,1,0.13629,0.000379743,0.000379743,0.000379743
80,6324.12,0.04225,0.96148,1,0.07693,0.000363239,0.000363239,0.000363239
81,6403.85,0.03524,0.97271,1,0.07599,0.000346736,0.000346736,0.000346736
82,6484.94,0.04434,0.98555,1,0.05025,0.000330233,0.000330233,0.000330233
83,6565.24,0.01685,0.97753,1,0.05433,0.000313729,0.000313729,0.000313729
84,6646.1,0.02902,0.97913,1,0.04774,0.000297226,0.000297226,0.000297226
85,6726.83,0.02259,0.97913,1,0.06694,0.000280723,0.000280723,0.000280723
86,6806.07,0.02009,0.98395,1,0.05729,0.00026422,0.00026422,0.00026422
87,6888.07,0.02379,0.97753,1,0.06759,0.000247716,0.000247716,0.000247716
88,6967.19,0.0251,0.97913,1,0.06022,0.000231213,0.000231213,0.000231213
89,7046,0.01731,0.98395,1,0.05348,0.00021471,0.00021471,0.00021471
90,7125.77,0.01861,0.98074,1,0.04283,0.000198206,0.000198206,0.000198206
91,7217.28,0.0173,0.98395,1,0.04638,0.000181703,0.000181703,0.000181703
92,7295.55,0.01333,0.99037,1,0.03143,0.0001652,0.0001652,0.0001652
93,7374.37,0.01808,0.98716,1,0.04464,0.000148696,0.000148696,0.000148696
94,7452.61,0.01468,0.98555,1,0.0413,0.000132193,0.000132193,0.000132193
95,7531.31,0.01413,0.99197,1,0.03409,0.00011569,0.00011569,0.00011569
96,7611.83,0.01725,0.99037,1,0.03348,9.91865e-05,9.91865e-05,9.91865e-05
97,7690.85,0.0152,0.98234,1,0.0449,8.26832e-05,8.26832e-05,8.26832e-05
98,7770.43,0.04105,0.98555,1,0.03774,6.61799e-05,6.61799e-05,6.61799e-05
99,7848.94,0.01866,0.98555,1,0.03713,4.96766e-05,4.96766e-05,4.96766e-05
100,7928.72,0.01599,0.98555,1,0.03963,3.31733e-05,3.31733e-05,3.31733e-05
